# Метеостанция Лондон / Сент-Джеймский парк, Великобритания, WMO_ID=3770, выборка с 01.01.2013 по 30.07.2013, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=3770&lang=ru
#
"Местное время в Лондоне / Сент-Джеймском парке";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"01.06.2013 01:00";"15.0";"";"";"";"70";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.5";"Осадков нет";"6";"";"";"";"";
"31.05.2013 22:00";"18.0";"";"";"";"65";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.4";"";"";"";"";"";"";
"31.05.2013 19:00";"20.6";"";"";"";"54";"";"";"";"";"";" ";"";"";"";"23.7";"";"";"";"";"";"";"11.0";"Осадков нет";"12";"";"";"";"";
"31.05.2013 16:00";"22.6";"";"";"";"46";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.5";"";"";"";"";"";"";
"31.05.2013 13:00";"20.7";"";"";"";"60";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.5";"Осадков нет";"6";"";"";"";"";
"31.05.2013 10:00";"14.0";"";"";"";"82";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.9";"";"";"";"";"";"";
"31.05.2013 07:00";"12.3";"";"";"";"84";"";"";"";"";"";" ";"";"";"11.4";"";"";"";"";"";"";"";"9.7";"Осадков нет";"12";"";"11.0";"";"";
"31.05.2013 04:00";"11.5";"";"";"";"88";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.5";"";"";"";"";"";"";
"31.05.2013 01:00";"12.1";"";"";"";"85";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.6";"Осадков нет";"6";"";"";"";"";
"30.05.2013 22:00";"12.5";"";"";"";"83";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.7";"";"";"";"";"";"";
"30.05.2013 19:00";"14.0";"";"";"";"80";"";"";"";"";"";" ";"";"";"";"16.2";"";"";"";"";"";"";"10.5";"0.2";"12";"";"";"";"";
"30.05.2013 16:00";"14.6";"";"";"";"78";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.8";"";"";"";"";"";"";
"30.05.2013 13:00";"14.6";"";"";"";"78";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.8";"Осадков нет";"6";"";"";"";"";
"30.05.2013 10:00";"12.2";"";"";"";"88";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.3";"";"";"";"";"";"";
"30.05.2013 07:00";"11.3";"";"";"";"96";"";"";"";"";"";" ";"";"";"11.1";"";"";"";"";"";"";"";"10.6";"5.0";"12";"";"10.0";"";"";
"30.05.2013 04:00";"11.8";"";"";"";"92";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.6";"";"";"";"";"";"";
"30.05.2013 01:00";"12.0";"";"";"";"88";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.0";"Осадков нет";"6";"";"";"";"";
"29.05.2013 22:00";"12.8";"";"";"";"85";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.4";"";"";"";"";"";"";
"29.05.2013 19:00";"13.2";"";"";"";"84";"";"";"";"";"";" ";"";"";"";"13.4";"";"";"";"";"";"";"10.6";"1.0";"12";"";"";"";"";
"29.05.2013 16:00";"12.5";"";"";"";"84";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.8";"";"";"";"";"";"";
"29.05.2013 13:00";"10.9";"";"";"";"89";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.1";"0.2";"6";"";"";"";"";
"29.05.2013 10:00";"11.9";"";"";"";"79";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.3";"";"";"";"";"";"";
"29.05.2013 07:00";"9.2";"";"";"";"89";"";"";"";"";"";" ";"";"";"8.8";"";"";"";"";"";"";"";"7.5";"Осадков нет";"12";"";"8.0";"";"";
"29.05.2013 04:00";"9.3";"";"";"";"86";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.1";"";"";"";"";"";"";
"29.05.2013 01:00";"9.6";"";"";"";"90";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.0";"Осадков нет";"6";"";"";"";"";
"28.05.2013 22:00";"10.5";"";"";"";"86";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.3";"";"";"";"";"";"";
"28.05.2013 19:00";"11.7";"";"";"";"86";"";"";"";"";"";" ";"";"";"";"12.6";"";"";"";"";"";"";"9.4";"11.0";"12";"";"";"";"";
"28.05.2013 16:00";"11.5";"";"";"";"90";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";
"28.05.2013 13:00";"12.3";"";"";"";"90";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.7";"3.0";"6";"";"";"";"";
"28.05.2013 10:00";"11.9";"";"";"";"92";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.6";"";"";"";"";"";"";
"28.05.2013 07:00";"10.0";"";"";"";"94";"";"";"";"";"";" ";"";"";"10.0";"";"";"";"";"";"";"";"9.0";"3.0";"12";"";"10.0";"";"";
"28.05.2013 04:00";"11.0";"";"";"";"83";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.3";"";"";"";"";"";"";
"28.05.2013 01:00";"12.8";"";"";"";"58";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.7";"Осадков нет";"6";"";"";"";"";
"27.05.2013 22:00";"13.3";"";"";"";"58";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.1";"";"";"";"";"";"";
"27.05.2013 19:00";"15.7";"";"";"";"42";"";"";"";"";"";" ";"";"";"";"18.3";"";"";"";"";"";"";"2.8";"Осадков нет";"12";"";"";"";"";
"27.05.2013 16:00";"17.8";"";"";"";"39";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.8";"";"";"";"";"";"";
"27.05.2013 13:00";"17.4";"";"";"";"45";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.3";"Осадков нет";"6";"";"";"";"";
"27.05.2013 10:00";"13.9";"";"";"";"53";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.5";"";"";"";"";"";"";
"27.05.2013 07:00";"8.2";"";"";"";"77";"";"";"";"";"";" ";"";"";"6.7";"";"";"";"";"";"";"";"4.4";"Осадков нет";"12";"";"2.0";"";"";
"27.05.2013 04:00";"8.3";"";"";"";"68";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.7";"";"";"";"";"";"";
"27.05.2013 01:00";"10.2";"";"";"";"67";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.3";"Осадков нет";"6";"";"";"";"";
"26.05.2013 22:00";"14.1";"";"";"";"55";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.3";"";"";"";"";"";"";
"26.05.2013 19:00";"17.9";"";"";"";"37";"";"";"";"";"";" ";"";"";"";"20.0";"";"";"";"";"";"";"3.1";"Осадков нет";"12";"";"";"";"";
"26.05.2013 16:00";"19.2";"";"";"";"32";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.1";"";"";"";"";"";"";
"26.05.2013 13:00";"16.6";"";"";"";"37";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.6";"Осадков нет";"6";"";"";"";"";
"26.05.2013 10:00";"14.8";"";"";"";"36";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.2";"";"";"";"";"";"";
"26.05.2013 07:00";"8.0";"";"";"";"75";"";"";"";"";"";" ";"";"";"6.0";"";"";"";"";"";"";"";"3.8";"Осадков нет";"12";"";"2.0";"";"";
"26.05.2013 04:00";"6.9";"";"";"";"81";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.9";"";"";"";"";"";"";
"26.05.2013 01:00";"7.4";"";"";"";"80";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.2";"Осадков нет";"6";"";"";"";"";
"25.05.2013 22:00";"10.9";"";"";"";"62";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.9";"";"";"";"";"";"";
"25.05.2013 19:00";"14.4";"";"";"";"45";"";"";"";"";"";" ";"";"";"";"15.9";"";"";"";"";"";"";"2.4";"Осадков нет";"12";"";"";"";"";
"25.05.2013 16:00";"13.9";"";"";"";"44";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.0";"";"";"";"";"";"";
"25.05.2013 13:00";"13.5";"";"";"";"51";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.6";"Осадков нет";"6";"";"";"";"";
"25.05.2013 10:00";"10.4";"";"";"";"64";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.9";"";"";"";"";"";"";
"25.05.2013 07:00";"6.5";"";"";"";"88";"";"";"";"";"";" ";"";"";"5.7";"";"";"";"";"";"";"";"4.7";"0.6";"12";"";"3.0";"";"";
"25.05.2013 04:00";"6.6";"";"";"";"89";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.9";"";"";"";"";"";"";
"25.05.2013 01:00";"6.7";"";"";"";"88";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.9";"0.6";"6";"";"";"";"";
"24.05.2013 22:00";"7.3";"";"";"";"85";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.9";"";"";"";"";"";"";
"24.05.2013 19:00";"8.0";"";"";"";"88";"";"";"";"";"";" ";"";"";"";"9.2";"";"";"";"";"";"";"6.1";"9.0";"12";"";"";"";"";
"24.05.2013 16:00";"8.2";"";"";"";"91";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.9";"";"";"";"";"";"";
"24.05.2013 13:00";"7.8";"";"";"";"86";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.6";"2.0";"6";"";"";"";"";
"24.05.2013 10:00";"7.2";"";"";"";"82";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.4";"";"";"";"";"";"";
"24.05.2013 07:00";"5.8";"";"";"";"84";"";"";"";"";"";" ";"";"";"5.8";"";"";"";"";"";"";"";"3.3";"0.2";"12";"";"5.0";"";"";
"24.05.2013 04:00";"6.1";"";"";"";"78";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.6";"";"";"";"";"";"";
"24.05.2013 01:00";"6.7";"";"";"";"76";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.8";"Осадков нет";"6";"";"";"";"";
"23.05.2013 19:00";"8.7";"";"";"";"64";"";"";"";"";"";" ";"";"";"";"11.9";"";"";"";"";"";"";"2.1";"0.2";"12";"";"";"";"";
"23.05.2013 13:00";"11.1";"";"";"";"42";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.3";"Осадков нет";"6";"";"";"";"";
"23.05.2013 10:00";"9.1";"";"";"";"56";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.7";"";"";"";"";"";"";
"23.05.2013 07:00";"7.2";"";"";"";"71";"";"";"";"";"";" ";"";"";"6.7";"";"";"";"";"";"";"";"2.2";"Осадков нет";"12";"";"5.0";"";"";
"23.05.2013 04:00";"7.4";"";"";"";"67";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.6";"";"";"";"";"";"";
"23.05.2013 01:00";"8.4";"";"";"";"62";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.5";"Осадков нет";"6";"";"";"";"";
"22.05.2013 22:00";"10.9";"";"";"";"54";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.0";"";"";"";"";"";"";
"22.05.2013 19:00";"13.9";"";"";"";"51";"";"";"";"";"";" ";"";"";"";"14.9";"";"";"";"";"";"";"3.8";"Осадков нет";"12";"";"";"";"";
"22.05.2013 16:00";"12.9";"";"";"";"70";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.6";"";"";"";"";"";"";
"22.05.2013 13:00";"12.5";"";"";"";"75";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.1";"Осадков нет";"6";"";"";"";"";
"22.05.2013 10:00";"11.2";"";"";"";"78";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.5";"";"";"";"";"";"";
"22.05.2013 07:00";"10.5";"";"";"";"72";"";"";"";"";"";" ";"";"";"10.3";"";"";"";"";"";"";"";"5.7";"Осадков нет";"12";"";"9.0";"";"";
"22.05.2013 04:00";"10.6";"";"";"";"68";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.0";"";"";"";"";"";"";
"22.05.2013 01:00";"10.8";"";"";"";"78";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.1";"Осадков нет";"6";"";"";"";"";
"21.05.2013 22:00";"13.1";"";"";"";"74";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.5";"";"";"";"";"";"";
"21.05.2013 19:00";"13.7";"";"";"";"69";"";"";"";"";"";" ";"";"";"";"14.5";"";"";"";"";"";"";"8.1";"Осадков нет";"12";"";"";"";"";
"21.05.2013 16:00";"13.9";"";"";"";"70";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.5";"";"";"";"";"";"";
"21.05.2013 13:00";"13.1";"";"";"";"76";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.0";"Осадков нет";"6";"";"";"";"";
"21.05.2013 10:00";"12.9";"";"";"";"78";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.1";"";"";"";"";"";"";
"21.05.2013 07:00";"13.0";"";"";"";"83";"";"";"";"";"";" ";"";"";"13.0";"";"";"";"";"";"";"";"10.1";"0.2";"12";"";"13.0";"";"";
"21.05.2013 04:00";"14.1";"";"";"";"82";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.0";"";"";"";"";"";"";
"21.05.2013 01:00";"16.6";"";"";"";"78";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.7";"0.2";"6";"";"";"";"";
"20.05.2013 22:00";"17.4";"";"";"";"78";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.5";"";"";"";"";"";"";
"20.05.2013 19:00";"17.3";"";"";"";"80";"";"";"";"";"";" ";"";"";"";"17.4";"";"";"";"";"";"";"13.7";"Осадков нет";"12";"";"";"";"";
"20.05.2013 16:00";"16.8";"";"";"";"78";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.0";"";"";"";"";"";"";
"20.05.2013 13:00";"14.7";"";"";"";"85";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.2";"Осадков нет";"6";"";"";"";"";
"20.05.2013 10:00";"13.4";"";"";"";"87";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.3";"";"";"";"";"";"";
"20.05.2013 07:00";"12.8";"";"";"";"84";"";"";"";"";"";" ";"";"";"11.5";"";"";"";"";"";"";"";"10.2";"0.2";"12";"";"8.0";"";"";
"20.05.2013 04:00";"12.4";"";"";"";"82";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.4";"";"";"";"";"";"";
"20.05.2013 01:00";"13.1";"";"";"";"81";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.9";"Осадков нет";"6";"";"";"";"";
"19.05.2013 22:00";"14.4";"";"";"";"68";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.6";"";"";"";"";"";"";
"19.05.2013 19:00";"17.5";"";"";"";"55";"";"";"";"";"";" ";"";"";"";"18.6";"";"";"";"";"";"";"8.3";"Осадков нет";"12";"";"";"";"";
"19.05.2013 16:00";"18.5";"";"";"";"51";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.3";"";"";"";"";"";"";
"19.05.2013 13:00";"16.3";"";"";"";"61";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.7";"Осадков нет";"6";"";"";"";"";
"19.05.2013 10:00";"13.8";"";"";"";"64";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.1";"";"";"";"";"";"";
"19.05.2013 07:00";"10.4";"";"";"";"79";"";"";"";"";"";" ";"";"";"9.6";"";"";"";"";"";"";"";"6.9";"Осадков нет";"12";"";"5.0";"";"";
"19.05.2013 04:00";"9.6";"";"";"";"86";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.3";"";"";"";"";"";"";
"19.05.2013 01:00";"10.5";"";"";"";"79";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.0";"Осадков нет";"6";"";"";"";"";
"18.05.2013 22:00";"13.0";"";"";"";"64";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.4";"";"";"";"";"";"";
"18.05.2013 19:00";"14.7";"";"";"";"56";"";"";"";"";"";" ";"";"";"";"15.8";"";"";"";"";"";"";"6.0";"Осадков нет";"12";"";"";"";"";
"18.05.2013 16:00";"14.7";"";"";"";"56";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.1";"";"";"";"";"";"";
"18.05.2013 13:00";"13.2";"";"";"";"60";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.6";"Осадков нет";"6";"";"";"";"";
"18.05.2013 10:00";"12.4";"";"";"";"64";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.8";"";"";"";"";"";"";
"18.05.2013 07:00";"9.7";"";"";"";"76";"";"";"";"";"";" ";"";"";"9.5";"";"";"";"";"";"";"";"5.7";"0.2";"12";"";"9.0";"";"";
"18.05.2013 04:00";"10.1";"";"";"";"68";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.5";"";"";"";"";"";"";
"18.05.2013 01:00";"10.1";"";"";"";"72";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.2";"0.2";"6";"";"";"";"";
"17.05.2013 22:00";"10.5";"";"";"";"72";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.6";"";"";"";"";"";"";
"17.05.2013 19:00";"11.4";"";"";"";"67";"";"";"";"";"";" ";"";"";"";"12.5";"";"";"";"";"";"";"5.5";"Осадков нет";"12";"";"";"";"";
"17.05.2013 16:00";"11.6";"";"";"";"63";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.8";"";"";"";"";"";"";
"17.05.2013 13:00";"11.5";"";"";"";"68";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.7";"Осадков нет";"6";"";"";"";"";
"17.05.2013 10:00";"10.9";"";"";"";"72";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.0";"";"";"";"";"";"";
"17.05.2013 07:00";"9.1";"";"";"";"86";"";"";"";"";"";" ";"";"";"7.3";"";"";"";"";"";"";"";"6.8";"Осадков нет";"12";"";"3.0";"";"";
"17.05.2013 04:00";"7.9";"";"";"";"87";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.8";"";"";"";"";"";"";
"17.05.2013 01:00";"9.9";"";"";"";"80";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.6";"Осадков нет";"6";"";"";"";"";
"16.05.2013 22:00";"10.2";"";"";"";"79";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.8";"";"";"";"";"";"";
"16.05.2013 19:00";"12.4";"";"";"";"71";"";"";"";"";"";" ";"";"";"";"16.7";"";"";"";"";"";"";"7.2";"0.2";"12";"";"";"";"";
"16.05.2013 16:00";"14.3";"";"";"";"47";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.1";"";"";"";"";"";"";
"16.05.2013 13:00";"16.2";"";"";"";"33";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.0";"Осадков нет";"6";"";"";"";"";
"16.05.2013 10:00";"12.3";"";"";"";"58";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.3";"";"";"";"";"";"";
"16.05.2013 07:00";"5.6";"";"";"";"98";"";"";"";"";"";" ";"";"";"4.3";"";"";"";"";"";"";"";"5.3";"0.2";"12";"";"0.0";"";"";
"16.05.2013 04:00";"5.0";"";"";"";"97";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.5";"";"";"";"";"";"";
"16.05.2013 01:00";"6.4";"";"";"";"87";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.3";"0.2";"6";"";"";"";"";
"15.05.2013 22:00";"9.7";"";"";"";"76";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.6";"";"";"";"";"";"";
"15.05.2013 19:00";"13.0";"";"";"";"57";"";"";"";"";"";" ";"";"";"";"14.6";"";"";"";"";"";"";"4.7";"Осадков нет";"12";"";"";"";"";
"15.05.2013 16:00";"12.2";"";"";"";"59";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.4";"";"";"";"";"";"";
"15.05.2013 13:00";"9.7";"";"";"";"71";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.7";"Осадков нет";"6";"";"";"";"";
"15.05.2013 10:00";"7.9";"";"";"";"71";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.9";"";"";"";"";"";"";
"15.05.2013 07:00";"7.3";"";"";"";"72";"";"";"";"";"";" ";"";"";"7.2";"";"";"";"";"";"";"";"2.6";"4.0";"12";"";"6.0";"";"";
"15.05.2013 04:00";"7.7";"";"";"";"74";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.4";"";"";"";"";"";"";
"15.05.2013 01:00";"8.1";"";"";"";"78";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.5";"4.0";"6";"";"";"";"";
"14.05.2013 22:00";"9.5";"";"";"";"95";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.7";"";"";"";"";"";"";
"14.05.2013 19:00";"9.3";"";"";"";"91";"";"";"";"";"";" ";"";"";"";"12.3";"";"";"";"";"";"";"7.9";"3.0";"12";"";"";"";"";
"14.05.2013 16:00";"9.6";"";"";"";"79";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.2";"";"";"";"";"";"";
"14.05.2013 13:00";"11.3";"";"";"";"71";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.2";"0.2";"6";"";"";"";"";
"14.05.2013 10:00";"10.7";"";"";"";"63";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.9";"";"";"";"";"";"";
"14.05.2013 07:00";"7.9";"";"";"";"80";"";"";"";"";"";" ";"";"";"7.1";"";"";"";"";"";"";"";"4.7";"0.8";"12";"";"5.0";"";"";
"14.05.2013 04:00";"7.8";"";"";"";"79";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.4";"";"";"";"";"";"";
"14.05.2013 01:00";"8.4";"";"";"";"74";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.0";"0.8";"6";"";"";"";"";
"13.05.2013 22:00";"9.6";"";"";"";"66";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.5";"";"";"";"";"";"";
"13.05.2013 19:00";"12.7";"";"";"";"55";"";"";"";"";"";" ";"";"";"";"15.7";"";"";"";"";"";"";"3.7";"Осадков нет";"12";"";"";"";"";
"13.05.2013 16:00";"14.7";"";"";"";"41";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.7";"";"";"";"";"";"";
"13.05.2013 13:00";"13.6";"";"";"";"49";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.9";"Осадков нет";"6";"";"";"";"";
"13.05.2013 10:00";"12.4";"";"";"";"53";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.2";"";"";"";"";"";"";
"13.05.2013 07:00";"11.2";"";"";"";"82";"";"";"";"";"";" ";"";"";"10.8";"";"";"";"";"";"";"";"8.2";"0.6";"12";"";"10.0";"";"";
"13.05.2013 04:00";"11.5";"";"";"";"90";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.9";"";"";"";"";"";"";
"13.05.2013 01:00";"11.5";"";"";"";"94";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.6";"0.2";"6";"";"";"";"";
"12.05.2013 22:00";"11.8";"";"";"";"91";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.4";"";"";"";"";"";"";
"12.05.2013 19:00";"11.4";"";"";"";"90";"";"";"";"";"";" ";"";"";"";"16.2";"";"";"";"";"";"";"9.8";"0.8";"12";"";"";"";"";
"12.05.2013 16:00";"13.4";"";"";"";"61";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.1";"";"";"";"";"";"";
"12.05.2013 13:00";"14.4";"";"";"";"47";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.0";"Осадков нет";"6";"";"";"";"";
"12.05.2013 10:00";"11.3";"";"";"";"60";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.9";"";"";"";"";"";"";
"12.05.2013 07:00";"7.1";"";"";"";"81";"";"";"";"";"";" ";"";"";"6.0";"";"";"";"";"";"";"";"4.0";"3.0";"12";"";"4.0";"";"";
"12.05.2013 04:00";"6.5";"";"";"";"84";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";
"12.05.2013 01:00";"6.3";"";"";"";"85";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.9";"3.0";"6";"";"";"";"";
"11.05.2013 22:00";"7.5";"";"";"";"87";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.5";"";"";"";"";"";"";
"11.05.2013 19:00";"12.7";"";"";"";"57";"";"";"";"";"";" ";"";"";"";"14.0";"";"";"";"";"";"";"4.4";"Осадков нет";"12";"";"";"";"";
"11.05.2013 16:00";"13.6";"";"";"";"65";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.1";"";"";"";"";"";"";
"11.05.2013 13:00";"12.6";"";"";"";"64";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.9";"Осадков нет";"6";"";"";"";"";
"11.05.2013 10:00";"11.7";"";"";"";"66";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.6";"";"";"";"";"";"";
"11.05.2013 07:00";"7.7";"";"";"";"89";"";"";"";"";"";" ";"";"";"7.1";"";"";"";"";"";"";"";"6.0";"2.0";"12";"";"5.0";"";"";
"11.05.2013 04:00";"7.9";"";"";"";"91";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.6";"";"";"";"";"";"";
"11.05.2013 01:00";"8.8";"";"";"";"87";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.7";"0.6";"6";"";"";"";"";
"10.05.2013 22:00";"12.2";"";"";"";"78";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.4";"";"";"";"";"";"";
