# Метеостанция Овруч, Украина, WMO_ID=33213, выборка с 01.01.2019 по 30.07.2019, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=33213&lang=ru
#
"Местное время в Овруче";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"21.06.2019 18:00";"24.6";"745.0";"";"";"70";"";"2";"";"";"";"Слабый снег или дождь со снегом или град в срок наблюдения. Гроза в течение последнего часа, но не в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21.06.2019 15:00";"31.8";"";"";"";"39";"Ветер, дующий с востока";"2";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"20.0";"";"Осадков нет";"6";"";"";"";"";
"21.06.2019 12:00";"30.0";"746.0";"";"";"47";"";"1";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21.06.2019 09:00";"24.4";"746.0";"";"";"68";"";"1";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21.06.2019 06:00";"20.0";"746.6";"761.4";"";"91";"Штиль, безветрие";"0";"";"";"40%.";"Дымка. ";"Гроза (грозы) с осадками или без них.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"4.0";"18.4";"";"";"";"";"";"";
"21.06.2019 03:00";"19.2";"746.0";"";"";"96";"";"0";"";"";"";"Дымка. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21.06.2019 00:00";"20.2";"";"";"";"96";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Дымка. ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"20.06.2019 21:00";"22.8";"745.0";"";"";"90";"";"0";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"20.06.2019 18:00";"23.4";"";"";"";"70";"Ветер, дующий с запада";"2";"";"";"70 – 80%.";"Ливневый(ые) дождь(и). ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"20.06.2019 15:00";"28.8";"745.0";"";"";"42";"";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"20.06.2019 12:00";"28.3";"";"";"";"49";"Ветер, дующий с юго-востока";"2";"";"";"60%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"20.06.2019 09:00";"22.8";"746.0";"";"";"65";"";"1";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"20.06.2019 06:00";"16.5";"746.0";"";"";"84";"";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"20.06.2019 03:00";"17.7";"";"";"";"87";"Штиль, безветрие";"0";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"20.06.2019 00:00";"19.0";"";"";"";"79";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"19.06.2019 21:00";"23.1";"";"";"";"66";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"28.4";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"19.06.2019 18:00";"28.3";"746.0";"";"";"39";"";"0";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"19.06.2019 15:00";"27.7";"747.0";"";"";"42";"";"1";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"19.06.2019 12:00";"26.1";"";"";"";"48";"Ветер, дующий с востока";"2";"";"";"60%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"19.06.2019 09:00";"23.0";"748.0";"";"";"76";"";"0";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"19.06.2019 06:00";"15.4";"";"";"";"90";"Ветер, дующий с юга";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"19.06.2019 03:00";"16.9";"748.0";"";"";"87";"";"0";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"19.06.2019 00:00";"18.1";"";"";"";"86";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"18.06.2019 21:00";"22.5";"747.0";"";"";"85";"";"0";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"18.06.2019 18:00";"24.5";"748.0";"";"";"61";"";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"18.06.2019 15:00";"24.4";"";"";"";"60";"Ветер, дующий с северо-запада";"2";"";"";"60%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"18.06.2019 12:00";"23.4";"";"";"";"66";"Ветер, дующий с запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"18.06.2019 09:00";"20.6";"";"";"";"74";"Ветер, дующий с северо-запада";"1";"";"";"20–30%.";" ";"";"";"15.4";"";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"18.06.2019 06:00";"15.5";"";"";"";"93";"Ветер, дующий с северо-запада";"1";"";"";"40%.";"Дымка. ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"18.06.2019 03:00";"17.5";"748.0";"";"";"89";"";"0";"";"";"60%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"18.06.2019 00:00";"19.3";"";"";"";"88";"Ветер, дующий с запада";"2";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"17.06.2019 21:00";"23.5";"747.0";"";"";"80";"";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"17.06.2019 18:00";"27.1";"";"";"";"66";"Ветер, дующий с запада";"2";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"17.06.2019 15:00";"28.7";"746.0";"";"";"57";"";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"17.06.2019 12:00";"25.7";"";"";"";"58";"Ветер, дующий с северо-востока";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"17.06.2019 09:00";"20.8";"746.0";"";"";"77";"";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"17.06.2019 06:00";"17.0";"";"";"";"96";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";"Дымка. ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"17.06.2019 03:00";"17.8";"";"";"";"93";"Штиль, безветрие";"0";"";"";"70 – 80%.";"Дымка. ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"17.06.2019 00:00";"18.2";"";"";"";"90";"Ветер, дующий с запада";"2";"";"";"100%.";"Гроза слабая или умеренная без града, но с дождем и/или снегом в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"16.06.2019 21:00";"25.2";"745.0";"";"";"67";"";"0";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"16.06.2019 18:00";"29.5";"744.0";"";"";"34";"";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"16.06.2019 15:00";"29.2";"";"";"";"36";"Ветер, дующий с востока";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"16.06.2019 12:00";"26.8";"";"";"";"50";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"16.06.2019 09:00";"23.1";"";"";"";"67";"Ветер, дующий с севера";"1";"";"";"20–30%.";" ";"";"";"18.5";"";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"16.06.2019 06:00";"18.8";"";"";"";"73";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"16.06.2019 03:00";"19.2";"";"";"";"74";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"16.06.2019 00:00";"20.7";"";"";"";"73";"Штиль, безветрие";"0";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"15.06.2019 21:00";"25.0";"745.0";"";"";"57";"";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"15.06.2019 18:00";"31.0";"745.0";"";"";"36";"";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"15.06.2019 15:00";"30.8";"746.0";"";"";"34";"";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"15.06.2019 12:00";"28.6";"747.0";"";"";"49";"";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"15.06.2019 09:00";"25.2";"";"";"";"64";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"19.0";"";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"15.06.2019 06:00";"19.4";"";"";"";"83";"Штиль, безветрие";"0";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"15.06.2019 03:00";"20.0";"";"";"";"81";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"15.06.2019 00:00";"21.4";"";"";"";"76";"Ветер, дующий с северо-запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"14.06.2019 21:00";"25.4";"";"";"";"60";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"31.0";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"14.06.2019 18:00";"30.6";"";"";"";"41";"Ветер, дующий с юга";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"14.06.2019 15:00";"29.0";"748.0";"";"";"47";"";"2";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"14.06.2019 12:00";"29.2";"749.0";"";"";"48";"";"1";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"14.06.2019 09:00";"23.9";"";"";"";"75";"Ветер, дующий с востока";"1";"";"";"60%.";" ";"";"";"19.0";"";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"14.06.2019 06:00";"19.0";"";"";"";"85";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"14.06.2019 03:00";"20.8";"";"";"";"81";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"14.06.2019 00:00";"23.0";"";"";"";"65";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"13.06.2019 21:00";"27.1";"748.0";"";"";"50";"";"0";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"13.06.2019 18:00";"31.8";"747.0";"";"";"34";"";"2";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"13.06.2019 15:00";"31.5";"748.0";"";"";"37";"";"2";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"13.06.2019 12:00";"30.0";"748.0";"";"";"40";"";"2";"";"";"60%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"13.06.2019 09:00";"25.6";"";"";"";"60";"Ветер, дующий с востока";"1";"";"";"40%.";" ";"";"";"17.4";"";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"13.06.2019 06:00";"17.4";"748.0";"";"";"90";"";"0";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"13.06.2019 03:00";"19.6";"";"";"";"85";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"13.06.2019 00:00";"21.4";"";"";"";"81";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"12.06.2019 21:00";"26.0";"746.0";"";"";"63";"";"0";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"12.06.2019 18:00";"30.6";"";"";"";"42";"Ветер, дующий с юго-востока";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"20.0";"";"";"";"";"";"";"";
"12.06.2019 15:00";"30.5";"747.0";"";"";"39";"";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"12.06.2019 12:00";"28.9";"";"";"";"52";"Ветер, дующий с востока";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"20.0";"";"";"";"";"";"";"";
"12.06.2019 09:00";"25.4";"";"";"";"64";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"18.0";"";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"12.06.2019 06:00";"18.0";"";"";"";"88";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"12.06.2019 03:00";"19.8";"";"";"";"89";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"12.06.2019 00:00";"21.1";"";"";"";"81";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"11.06.2019 21:00";"26.2";"";"";"";"63";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"31.1";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"11.06.2019 18:00";"30.8";"";"";"";"37";"Ветер, дующий с востока";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"11.06.2019 15:00";"30.5";"";"";"";"41";"Ветер, дующий с востока";"2";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"11.06.2019 12:00";"28.7";"749.0";"";"";"49";"";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"11.06.2019 09:00";"25.0";"750.0";"";"";"59";"";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"11.06.2019 06:00";"17.8";"";"";"";"89";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"11.06.2019 03:00";"18.6";"";"";"";"90";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"11.06.2019 00:00";"21.1";"";"";"";"83";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"10.06.2019 21:00";"25.0";"749.0";"";"";"64";"";"0";"";"";"60%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10.06.2019 18:00";"29.7";"";"";"";"39";"Штиль, безветрие";"0";"";"";"60%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"10.06.2019 15:00";"29.5";"";"";"";"47";"Ветер, дующий с юго-востока";"2";"";"";"60%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"10.06.2019 12:00";"27.1";"751.0";"";"";"54";"";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10.06.2019 09:00";"22.3";"";"";"";"73";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"16.4";"";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"10.06.2019 06:00";"16.6";"";"";"";"97";"Ветер, дующий с северо-востока";"1";"";"";"Облаков нет.";"Дымка. ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"10.06.2019 03:00";"17.2";"";"";"";"96";"Ветер, дующий с северо-востока";"1";"";"";"Облаков нет.";"Дымка. ";"";"";"";"";"";"";"";"";"";"4.0";"";"Осадков нет";"6";"";"";"";"";
"10.06.2019 00:00";"18.4";"";"";"";"93";"Ветер, дующий с запада";"2";"";"";"60%.";"Дымка. ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"09.06.2019 21:00";"20.8";"";"";"";"83";"Ветер, дующий с запада";"1";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"";"";"";"29.1";"";"";"";"";"";"10.0";"";"Следы осадков";"12";"";"";"";"";
"09.06.2019 18:00";"22.8";"";"";"";"63";"Ветер, дующий с запада";"2";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"09.06.2019 15:00";"26.3";"";"";"";"54";"Ветер, дующий с запада";"1";"";"";"70 – 80%.";"Гроза, но без осадков, в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"09.06.2019 12:00";"28.3";"751.0";"";"";"52";"";"0";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"09.06.2019 09:00";"23.6";"";"";"";"66";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"17.2";"";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"09.06.2019 06:00";"17.3";"751.0";"";"";"91";"";"0";"";"";"";"Дымка. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"09.06.2019 03:00";"17.8";"";"";"";"92";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Дымка. ";"";"";"";"";"";"";"";"";"";"4.0";"";"Осадков нет";"6";"";"";"";"";
"09.06.2019 00:00";"19.3";"";"";"";"88";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"08.06.2019 21:00";"23.2";"";"";"";"72";"Штиль, безветрие";"0";"";"";"40%.";" ";"";"";"";"28.2";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"08.06.2019 18:00";"28.0";"";"";"";"48";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"08.06.2019 15:00";"27.4";"";"";"";"49";"Ветер, дующий с востока";"1";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"08.06.2019 12:00";"25.4";"750.0";"";"";"63";"";"1";"";"";"60%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"08.06.2019 09:00";"21.0";"750.0";"";"";"76";"";"0";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"08.06.2019 06:00";"14.4";"750.0";"";"";"97";"";"1";"";"";"";"Дымка. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"08.06.2019 03:00";"15.5";"";"";"";"94";"Штиль, безветрие";"0";"";"";"60%.";"Дымка. ";"";"";"";"";"";"";"";"";"";"4.0";"";"Осадков нет";"6";"";"";"";"";
"08.06.2019 00:00";"16.0";"";"";"";"94";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Дымка. ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"07.06.2019 21:00";"17.2";"";"";"";"93";"Штиль, безветрие";"0";"";"";"70 – 80%.";"Слабый дождь в срок наблюдения. Гроза в течение последнего часа, но не в срок наблюдения. ";"";"";"";"26.9";"";"";"";"";"";"4.0";"";"14.0";"12";"";"";"";"";
"07.06.2019 18:00";"21.5";"749.0";"";"";"60";"";"4";"";"";"90  или более, но не 100%";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"07.06.2019 15:00";"26.0";"748.0";"";"";"57";"";"2";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"07.06.2019 12:00";"24.1";"749.0";"";"";"61";"";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"07.06.2019 09:00";"19.6";"";"";"";"84";"Ветер, дующий с востока";"1";"";"";"70 – 80%.";" ";"";"";"16.1";"";"";"";"";"";"";"10.0";"";"15.0";"12";"";"";"";"";
"07.06.2019 06:00";"17.0";"749.0";"";"";"95";"";"0";"";"";"";"Дымка. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"07.06.2019 03:00";"17.2";"748.0";"";"";"94";"";"2";"";"";"";"Дымка. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"07.06.2019 00:00";"17.4";"";"";"";"96";"Ветер, дующий с юго-востока";"8";"";"";"20–30%.";"Дымка. ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"06.06.2019 21:00";"24.0";"747.0";"";"";"74";"";"3";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"06.06.2019 18:00";"25.1";"";"";"";"63";"Ветер, дующий с востока";"2";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"06.06.2019 15:00";"22.8";"";"";"";"70";"Ветер, дующий с востока";"2";"";"";"90  или более, но не 100%";"Гроза, но без осадков, в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"06.06.2019 12:00";"21.9";"";"";"";"76";"Ветер, дующий с востока";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"06.06.2019 09:00";"17.8";"";"";"";"90";"Ветер, дующий с востока";"1";"";"";"90  или более, но не 100%";"Ливневый(ые) дождь(и). ";"";"";"16.9";"";"";"";"";"";"";"10.0";"";"0.8";"12";"";"";"";"";
"06.06.2019 06:00";"17.3";"749.0";"";"";"89";"";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"06.06.2019 03:00";"18.2";"748.0";"";"";"85";"";"0";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"06.06.2019 00:00";"18.8";"";"";"";"81";"Ветер, дующий с востока";"1";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"05.06.2019 21:00";"22.5";"748.0";"";"";"65";"";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"05.06.2019 18:00";"25.5";"";"";"";"59";"Ветер, дующий с востока";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"05.06.2019 15:00";"23.5";"";"";"";"73";"Ветер, дующий с востока";"1";"";"";"70 – 80%.";"Гроза (с осадками или без них). ";"";"";"";"";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"05.06.2019 12:00";"21.3";"";"";"";"77";"Ветер, дующий с востока";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"05.06.2019 09:00";"20.4";"748.0";"";"";"81";"";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"05.06.2019 06:00";"17.5";"";"";"";"91";"Ветер, дующий с юго-востока";"1";"";"";"70 – 80%.";"Дымка. ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"05.06.2019 03:00";"16.0";"748.0";"";"";"94";"";"2";"";"";"";"Дымка. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"05.06.2019 00:00";"17.4";"";"";"";"90";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"04.06.2019 21:00";"19.6";"747.0";"";"";"88";"";"0";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"04.06.2019 18:00";"23.4";"";"";"";"62";"Ветер, дующий с юга";"2";"";"";"70 – 80%.";"Ливневый(ые) дождь(и). ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"04.06.2019 15:00";"28.7";"747.0";"";"";"35";"";"2";"";"";"60%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"04.06.2019 12:00";"26.2";"748.0";"";"";"46";"";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"04.06.2019 09:00";"21.1";"";"";"";"59";"Ветер, дующий с северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"15.6";"";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"04.06.2019 06:00";"16.0";"749.0";"";"";"71";"";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"04.06.2019 03:00";"16.6";"749.0";"";"";"70";"";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"04.06.2019 00:00";"18.8";"";"";"";"63";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
